address,price,beds,baths,sqft,url,description,type,page_number,neighborhood,scraped_date
"Carmel Heights Apts | 1850 Morton Ave, Los Angeles, CA","$2,250+ 1 bd",N/A,N/A,N/A,https://www.zillow.com/apartments/echo-park-ca/carmel-heights-apts/CkB9rX/,Current Special: Security Deposit begins at $500 and is a sliding scale.,Rental,1,Echo Park,2025-08-06 22:17:47
"CLM - Vista Calumet, 1324 Calumet Ave APT 205, Los Angeles, CA 90026","$1,695/mo",N/A,N/A,N/A,https://www.zillow.com/apartments/los-angeles-ca/clm-vista-calumet/5XryPb/,"Recently renovated, this historic building in a great residential neighborhood of Echo Park offers a rare combination of 1920's charm and the upgraded modern kitchens and bathrooms of today. We currently have beautiful apartments featuring new caesarstone counters, stainless steel appliances, brand new cabinets, exposed brick, and refinished original hardwood floors in select apartments. Blocks away from the recently restored Echo Park Lake, our residents enjoy the park's fishing, pedal boats, and walking paths and are right in the middle of all the entertainment and dining options Echo Park has to offer.
Looking for adventure outside of Echo Park? Easy access to the 101, 110, 5, 2 and 10 allow you to quickly get to just about anywhere in Los Angeles. Pet Friendly! Pets will be subject to a $25/month, per pet fee, with a maximum of 2 pets per unit. For those approved applicants with ESAs or service animals related to an accommodation due to disability, no pet rent will be charged. This pricing will not last. Call us today, and start taking advantage of this great value!
Pictures in this ad are a representation and may not reflect the actual apartment that is currently available.

CHECK OUT OUR 3D VIRTUAL TOURS HERE:

-Listed security deposit is on approved credit.
-6 or 12 month lease - Six month lease available with $200 monthly surcharge. 

The rent, deposit, concession and terms listed in this ad are only valid for the actual date that this ad was initially posted.",Rental,1,Echo Park,2025-08-06 22:17:47
"Del Mor | 1551 Echo Park Ave, Los Angeles, CA","$2,658+ 1 bd",N/A,N/A,N/A,https://www.zillow.com/apartments/los-angeles-ca/del-mor/5hDS2R/,"Price shown is Base Rent. Residents are required to pay: At Application: Application Fee ($35.00/applicant, nonrefundable); Holding Deposit (Refundable) ($150.00/unit); At Move-in: Security Deposit (Refundable) ($500.0-$500.0); Monthly: Water (usage-based); Sewer (usage-based); Trash Services-CA (usage-based); SCEP Fee ($2.83/unit); Renters Liability Insurance-3rd Party (varies). Please visit the property website for a full list of all optional and situational fees. Floor plans are artist's rendering. All dimensions are approximate. Actual product and specifications may vary in dimension or detail. Not all features are available in every rental home. Please see a representative for details.

Introducing Del Mor Apartments located in the artist neighborhood of Echo Park, California, an area where sophistication and creative inhabitants collide. Fronting Echo Park Avenue, this four-story, charming brick building is comprised of 44 apartment homes ranging from studios to one and two-bedroom apartment homes. Echo Park Avenue runs north-south and is one of the major retail arteries in Echo Park, attracting many high-end boutiques and restaurants. You'll love the collection of local shops and cafes located on the ground floor, including Cookbook Grocery, Counterpart Deli, Tanvin Boutique, Glowing Juices, and Shout and About. Close to major freeways -the 101 and 5, and proximate to Downtown, Dodger Stadium, Hollywood, Silver Lake, and the quaint hilly neighborhoods of Echo Park. Minutes from more boutiques and premier restaurants along iconic Sunset Blvd. Greystar California, Inc. dba Greystar Corp. License No. 1525765 Broker: Gerard S. Donohue License No. 01265072",Rental,1,Echo Park,2025-08-06 22:17:47
"1000 Everett St, Los Angeles, CA 90026","$2,350/mo",N/A,N/A,N/A,https://www.zillow.com/homedetails/1000-Everett-St-Los-Angeles-CA-90026/452069773_zpid/,"Upstairs spacious unit with view of City lights. Minutes to DTLA and Dodgers stadium. Across from Everett Park.
1 gated assigned parking. Immediate occupancy, ready for move in. 
Owner pays for water, sewer and trash. Tenant pays for electricity, gas.
$35 non-refundable credit check fee upon approved applications with proof of income. No prior eviction.
Application available at showing. Showings by appointment with Wenny, call or text for appointment or questions.
Minimum 1 year lease.

Owner pays for water, trash and gardening. Tenant pays for electricity and gas. $35 per adult applicant non-refundable credit check fee upon approved application and proof of income. No prior evictions. Maximum 4 occupants. 
Submit application with photo ID a must. 
$35 refundable deposit for each parking remote control.
1 year lease minimum.Hide",Rental,2,Echo Park,2025-08-06 22:17:47
"1725 Kent St, Los Angeles, CA 90026","$2,699/mo",N/A,N/A,N/A,https://www.zillow.com/homedetails/1725-Kent-St-Los-Angeles-CA-90026/20739552_zpid/,"Available 8/18/25 
Utilities (electricity, water, gas, trash) included. Easy street parking. 
Renters must have minimum income of 3x monthly rent, and a credit score of 700+

Welcome to your private Echo Park retreat. This 1-bed, 1-bath guest house offers rare privacy with no shared walls, high ceilings, new laminate floors, window AC, and in-unit washer/dryer. Part of a Triplex offers fantastic views of the iconic Echo Park Lake and downtown Los Angeles. You'll enter through a shared entrance, but once inside, the large, sunny yard feels entirely yours a serene canvas for reading, pets, or weekend entertaining. 

Utilities fully included: electricity, water, gas, and trash so no surprise costs!

Cozy kitchen with warm lighting and functional layout: ideal for simple meals or artisan coffee mornings. New laminate wood tone flooring throughout adds polish and easy upkeep. High ceilings and oversized windows fill the home with natural light, making the space feel larger and graceful. In-unit washer and dryer add top-tier convenience. 

Pet-friendly: $30/month per pet, (max two pets).

Enjoy your own front yard ideal for pets or soaking up the sun. Freshly painted inside and out. Blocks from Sunset Boulevard and close to restaurants and shopping at Target, this Echo Park home offers urban living at its finest. 

Just one block from Sunset Blvd, you're steps from Echo Park's top spots coffee at Stereoscope, pizza at Masa, cocktails at Donna's, and post-game drinks at Bar Flores. With a Walk Score of 92, Koreatown, Silver Lake, Los Feliz, and Downtown LA are all within easy reach.

Owner Pays for Electricity, Gas, Water, Trash. 
1 Year Lease
Must have no prior evictions 
Make 2.5X Rent for Income 
Street Parking Only 
No Smoking Inside 
Small Dog and Cats OK with $50/mo per Pet.Hide",Rental,2,Echo Park,2025-08-06 22:17:47
"Apt Sunvue (Rso), 1161-1167 Sunvue Pl #1165, Los Angeles, CA 90012","$1,900/mo",N/A,N/A,N/A,https://www.zillow.com/apartments/los-angeles-ca/apt-sunvue-(rso)/B8WbwY/,"Shown By Appointment. Text to 626 Eight 7 Seven 15 Eight One

Renovated Spacious Upper 1-bed/1-bath, 2 balconies. Near Angelino and Victor Heights. Bonus room that could be used as a bedroom. 
One block away from Bob's Market from Fast & Furious movie.

Street Parking Only

APPLICATION REQUIREMENT:
* 650 credit score or higher
* Monthly Gross Income 3x rent amount
* Copies of Photo ID, Social, Pay Stubs, Bank Statement (Must have all 4 documents.), Or tax return if self-employed.
* Good landlord reference
* $59 application fee for each adult applicant
* Pets OK with $500 pet deposit and $50/month pet rent.",Rental,2,Echo Park,2025-08-06 22:17:47
"1218 W Sunset Blvd #305, Los Angeles, CA 90026","$2,280/mo",N/A,N/A,N/A,https://www.zillow.com/homedetails/1218-W-Sunset-Blvd-305-Los-Angeles-CA-90026/2072294048_zpid/,"Prime Location 
 
2 bedroom 1 bathroom located near the Dodger Stadium and Echo Park Lake.
Laundry facility available on-site. Month to month lease. Comes with 1 reserved parking space.Show more",Rental,2,Echo Park,2025-08-06 22:17:47
"Montana, 1315 Montana St APT 1, Los Angeles, CA 90026","$2,429/mo",N/A,N/A,N/A,https://www.zillow.com/apartments/los-angeles-ca/montana/9MLXN8/,"MATTERPORT TOUR

Welcome to our modern apartment in the heart of Los Angeles, CA. This sleek and stylish unit features recessed lighting, a dishwasher, air conditioning, and a microwave for your convenience. The kitchen boasts quartz counters and shaker cabinets, perfect for all your culinary needs. Enjoy the natural light that streams through the vinyl windows and horizontal blinds. The luxury vinyl plank flooring adds a touch of elegance to the space. With on-site parking and a 24/7 maintenance call center, your comfort and convenience are our top priorities. Stay connected with our tenant portal for easy communication and access to important information. Don't miss out on this fantastic opportunity to live in a modern and well-maintained apartment in a prime location. Contact us today to schedule a tour!

AMENITIES
On-Site Parking
On-Site Laundry
Luxury Vinyl Plank Flooring
Recessed Lighting
Vinyl Windows with Blinds

APPLIANCES
Dishwasher
Refrigerator
Range / Oven
Air Conditioning
Gas Wall Furnace

Details
Application Fee: $39
Base Price: $2649
Concession: -$220.75 - One Month Free on 12 Month Lease / Pro-rated
Net Rent: $2,428.25
Security Deposit - $2649
Tenant Pays Electric, Gas, Trash
Landlord Pays Water & Sewer

OPTIONAL
Single Parking Space $50 / Month
Pet Rent: Dog $50 | Cat $20 / Month

LOCATION
Echo Park Lake
Elysian Park
Silver Lake Reservoir
Easy Access to 101 & 110 & 5 Freeways

MOST CURRENT DETAILS HERE:

CONCESSION
You will be given the 2nd month free. The pro-rated listed rate demonstrates your average rent over the initial 12 month lease term.",Rental,2,Echo Park,2025-08-06 22:17:47
"Belmont Apartments, 627 Belmont Ave #1, Los Angeles, CA 90026","$2,063/mo",N/A,N/A,N/A,https://www.zillow.com/apartments/los-angeles-ca/belmont-apartments/9MLcY6/,"**All information deemed reliable but not guaranteed. Advertised rent is net pricing of the unit when factoring in the move in special on a 12 month lease. Actual gross rent paid is $2,250 for a 1 bed **

2ND MONTHS RENT FREE!!
Deposit: $1,000 *oac*

Welcome to Belmont Apartments, our boutique apartment community is located the vibrant city in Echo Park, adjacent to Silver Lake and Downtown LA. Some of the best restaurants, bars, parks and shopping that Los Angeles has to offer are all just minutes away. Close proximity to the 101 makes it easy to get to all the most trendy and desirable neighborhoods located in Northeast LA. Our two-bedroom, one-bathroom apartment offers a comfortable and convenient living experience. At Belmont Apartments, we prioritize your comfort and convenience, providing you with the amenities you need for a hassle-free lifestyle. Come and experience the best of Los Angeles living at Belmont Apartments.

KEY FEATURES
Bedrooms: 1
Bathrooms: 1
Lease Duration: 1 Year
Parking: 1 space
Deposit: $1,000 *oac
Pets Policy: Small pets allowed with additional $500 deposit and monthly pet rent ($50/dog & $25/cat)
Laundry: Shared
Property Type: Apartment
Utilities Included: none

Our beautifully unit, with no detail overlooked, include:
- stove/oven
- refrigerator
- exceptional views

Our boutique amenities include:
- online rent payment
- professional management
- off-street assigned parking

Please call us for more information and to schedule your personal tour!

**EQUAL HOUSING OPPORTUNITY**
Photos/3d Tour May Not Represent the Actual Unit Which Is For Lease. Advertised Sq. Footage is approximate. Please Contact The Leasing Agent For More Information",Rental,2,Echo Park,2025-08-06 22:17:47
"947 Figueroa Ter, Los Angeles, CA 90012","$2,600/mo",N/A,N/A,N/A,https://www.zillow.com/homedetails/947-Figueroa-Ter-Los-Angeles-CA-90012/2077531839_zpid/,"Get WARMED UP in this splendidly spacious 2br / 1ba second floor unit
Amazing VIEWS of Downtown LA skyline!
A convenient spot to Chinatown and Downtown
Spacious living area
Wood laminate floors throughout
Gas stove / wall heater and AC
Garbage disposal
Water-trash-gardener included
Laundry room in the building
Gated and secured property
Building parking & just steps to public transit

Call today to set up a viewing of this lovely residence :)

Owner pays water, trash, a gardener. Minimum 1 year lease. 
** FREE Home Products Gift Basket upon move-in **Show more",Rental,2,Echo Park,2025-08-06 22:17:47
